,Bath,Bed,Half-bath,Price,Square_Feet,Zip_code
6734,4,5,0,1995000,2885,92651
6735,4,4,0,1749000,2953,90068
6736,4,4,0,1648000,3800,92886
6737,4,4,1,1595000,3649,92264
6738,3,3,1,1575000,3030,90742
6739,4,4,0,1535000,4258,91791
6740,4,4,0,1535000,4258,91791
6741,3,3,1,1465000,3528,92262
6742,2,3,1,1275000,2728,93035
6743,7,5,1,1239000,4578,92264
6744,2,2,0,1094995,1613,92677
6745,3,4,0,1075000,2124,90045
6746,3,6,1,1050000,3251,92886
6747,1,2,0,995900,1108,93451
6748,2,3,1,780000,2926,92260
6749,2,4,0,749990,2046,91360
6750,3,3,1,699900,2924,92253
6751,3,4,0,1380000,2494,90245
6752,2,4,0,1340000,1920,92008
6753,1,1,0,1250000,700,92823
6754,3,4,0,1199000,2847,92807
6755,3,4,0,1175000,2660,92646
6756,1,1,0,1095000,606,92651
6757,5,5,0,969000,4110,92284
6758,2,3,0,950000,1772,91342
6759,5,3,6,900000,1691,92648
6760,2,4,1,899000,2651,91401
6761,2,4,0,725000,1585,91505
6762,5,5,0,675000,4762,93230
6763,2,3,1,634900,2170,92399
6764,2,3,0,630000,2301,93704
6765,3,3,0,599000,3100,95482
6766,2,3,1,579000,2444,92352
6767,1,2,0,549000,1328,95963
6768,3,3,0,528500,2585,92270
6769,2,2,0,494000,1508,96150
6770,2,4,0,440000,1320,90650
6771,2,3,0,269990,1100,93543
6772,3,3,0,254900,1264,93550
6773,2,3,0,94700,1177,92277
6774,4,4,0,1650000,4289,93065
6775,3,3,0,1059000,3169,91320
6776,3,6,1,559999,2622,91767
6777,3,5,1,485000,3025,92345
6778,3,4,0,469900,3703,93643
6779,3,3,0,469000,2002,95437
6780,2,4,1,355000,2036,95838
6781,2,3,0,265000,1535,95249
6782,2,3,1,264900,1947,93604
6783,3,5,0,239900,2103,92301
6784,1,1,3,10000000,7002,90265
6785,3,5,2,3499000,6500,93940
6786,2,3,1,1995000,2945,93023
6787,2,3,0,1388000,1330,94063
6788,3,4,0,1350000,2212,94037
6789,3,4,0,769000,2150,91360
6790,2,4,0,709000,1568,92835
6791,2,3,0,670000,1482,91301
6792,2,4,1,484888,1970,91710
6793,2,4,0,409000,2615,95966
6794,1,2,0,379900,978,91786
6795,4,3,0,315000,1875,93561
6796,2,4,0,229000,2271,92308
6797,1,1,0,175000,678,95006
6798,2,4,0,169000,1600,93291
6799,10,10,1,9900000,6303,90210
6800,9,6,0,3295000,8603,90068
6801,3,4,0,1650000,2930,93023
6802,2,4,0,1180000,1976,91780
6803,2,4,1,899731,2400,92679
6804,3,4,0,825000,3819,92504
6805,3,4,1,588888,3208,94534
6806,4,5,1,3500000,5000,93023
6807,4,6,2,2995000,5164,92648
6808,4,4,1,1595000,3060,91356
6809,3,4,3,1450000,4780,93924
6810,2,3,0,589000,2042,92036
6811,1,2,0,470000,1107,93933
6812,2,3,0,265000,1730,95370
6813,4,5,0,1499950,3512,94550
6814,4,5,0,1499950,3512,94550
6815,4,5,0,1499950,3512,94550
6816,4,5,0,1499950,3512,94550
6817,1,2,0,5995000,1312,92014
6818,3,4,1,4395000,4000,92651
6819,3,4,1,4395000,4000,92651
6820,7,6,1,3950000,7200,90272
